ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount
51015	C36H56O12	680.8	1	N/A	N/A	170	1240	N/A	4	12	14	48	N/A	N/A	N/A	N/A	N/A
17696	C3H3N3O3	129.07	-1.2	N/A	N/A	87.3	136	N/A	3	3	0	9	N/A	N/A	N/A	N/A	N/A
16697	C9H10O	134.17	1.5	N/A	N/A	20.2	122	N/A	1	1	0	10	N/A	N/A	N/A	N/A	N/A
5659	C31H64	436.8	16.4	N/A	N/A	0	254	N/A	0	0	28	31	N/A	N/A	N/A	N/A	N/A
27594	CH4	16.043	0.6	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
49637	H2	2.016	0	N/A	N/A	0	0	N/A	0	0	0	0	N/A	N/A	N/A	N/A	N/A
25805	H2O	18.015	-0.5	N/A	N/A	1	0	N/A	1	1	0	1	N/A	N/A	N/A	N/A	N/A
28659	H3P	33.998	-0.1	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
26833	H2S	34.08	0.5	N/A	N/A	1	0	N/A	1	1	0	1	N/A	N/A	N/A	N/A	N/A
22984	Ca	40.08	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
25107	Mg	24.305	N/A	N/A	N/A	0	0	N/A	0	0	0	1	N/A	N/A	N/A	N/A	N/A
23116	ClH	36.46	0.8	N/A	N/A	0	0	N/A	1	0	0	1	N/A	N/A	N/A	N/A	N/A
22927	BrH	80.91	1	N/A	N/A	0	0	N/A	1	0	0	1	N/A	N/A	N/A	N/A	N/A
6504	CLi2O3	73.9	N/A	N/A	N/A	63.2	18	N/A	0	3	0	6	N/A	N/A	N/A	N/A	N/A
4846	C52H97NO18S	1056.4	N/A	N/A	N/A	272	1550	N/A	5	19	22	72	N/A	N/A	N/A	N/A	N/A
31599	C16H14O3	254.28	3.2	N/A	N/A	54.4	310	N/A	1	3	5	19	N/A	N/A	N/A	N/A	N/A
28786	C12H14Cl2N2	257.16	N/A	N/A	N/A	7.8	145	N/A	0	2	1	16	N/A	N/A	N/A	N/A	N/A
35553	C19H35N	277.5	6.8	N/A	N/A	12	245	N/A	1	1	4	20	N/A	N/A	N/A	N/A	N/A
35616	C10H12O	148.20	3.3	N/A	N/A	9.2	121	N/A	0	1	2	11	N/A	N/A	N/A	N/A	N/A
35455	C11H7NS	185.25	4.3	N/A	N/A	44.4	220	N/A	0	2	1	13	N/A	N/A	N/A	N/A	N/A
27961	C10H18O	154.25	2.5	N/A	N/A	9.2	164	N/A	0	1	0	11	N/A	N/A	N/A	N/A	N/A
5296	C15H22O3	250.33	3.8	N/A	N/A	46.5	273	N/A	1	3	6	18	N/A	N/A	N/A	N/A	N/A
44032	C36H47N5O4	613.8	2.8	N/A	N/A	118	952	N/A	4	7	12	45	N/A	N/A	N/A	N/A	N/A
35812	C15H13N3O3S	315.3	2.3	N/A	N/A	103	428	N/A	2	5	4	22	N/A	N/A	N/A	N/A	N/A
45367	C46H62N4O11	847.0	5.6	N/A	N/A	209	1880	N/A	5	14	5	61	N/A	N/A	N/A	N/A	N/A
9342	C23H20N2O3S	404.5	2.3	N/A	N/A	76.9	571	N/A	0	4	6	29	N/A	N/A	N/A	N/A	N/A
34565	C20H12	252.3	6.4	N/A	N/A	0	372	N/A	0	0	0	20	N/A	N/A	N/A	N/A	N/A
35860	C15H12	192.25	5.1	N/A	N/A	0	220	N/A	0	0	0	15	N/A	N/A	N/A	N/A	N/A
29146	C7H5N5	159.15	1	N/A	N/A	58.9	185	N/A	1	3	0	12	N/A	N/A	N/A	N/A	N/A
29147	C6H5N3O	135.12	-0.1	N/A	N/A	46.9	189	N/A	1	2	0	10	N/A	N/A	N/A	N/A	N/A
35854	C13H20N6O4	324.34	-0.9	N/A	N/A	147	483	N/A	3	7	8	23	N/A	N/A	N/A	N/A	N/A
36049	C6H7AsNNaO3	239.04	N/A	N/A	N/A	86.4	182	N/A	2	4	1	12	N/A	N/A	N/A	N/A	N/A
9016	C12H14As2Cl2N2O2	439.00	N/A	N/A	N/A	92.5	276	N/A	6	4	2	20	N/A	N/A	N/A	N/A	N/A
34643	C25H34O7	446.5	4.3	N/A	N/A	96	788	N/A	0	7	16	32	N/A	N/A	N/A	N/A	N/A
36143	C11H18N2O4Pt	437.36	N/A	N/A	N/A	118	207	N/A	2	6	1	18	N/A	N/A	N/A	N/A	N/A
36412	C18H28O2	276.4	3.3	N/A	N/A	37.3	418	N/A	1	2	0	20	N/A	N/A	N/A	N/A	N/A
19144	C12H20O3	212.28	3	N/A	N/A	54.4	197	N/A	1	3	10	15	N/A	N/A	N/A	N/A	N/A
31526	C18H20ClNOS	333.9	N/A	N/A	N/A	49.5	312	N/A	2	3	6	22	N/A	N/A	N/A	N/A	N/A
36813	C14H21ClN2O2	284.78	2.4	N/A	N/A	56.8	254	N/A	1	4	9	19	N/A	N/A	N/A	N/A	N/A
41250	C8H19NO5	209.24	-3.3	N/A	N/A	104	125	N/A	5	6	8	14	N/A	N/A	N/A	N/A	N/A
9754	C4H11NO3	121.14	-2.9	N/A	N/A	86.7	54	N/A	4	4	3	8	N/A	N/A	N/A	N/A	N/A
46097	C4H12NO3+	122.14	-2.9	N/A	N/A	88.3	54	N/A	4	3	3	8	N/A	N/A	N/A	N/A	N/A
40947	C11H26N2O6	282.33	-4.6	N/A	N/A	145	183	N/A	8	8	12	19	N/A	N/A	N/A	N/A	N/A
47	C22H26O8	418.4	2.2	N/A	N/A	95.8	485	N/A	2	8	6	30	N/A	N/A	N/A	N/A	N/A
43034	C16H17N3O7	363.32	-3	N/A	N/A	159	796	N/A	6	8	5	26	N/A	N/A	N/A	N/A	N/A
37647	C13H8O2	196.20	3.4	N/A	N/A	26.3	237	N/A	0	2	0	15	N/A	N/A	N/A	N/A	N/A
37824	C7H8ClN	141.60	2.9	N/A	N/A	26	94	N/A	1	1	0	9	N/A	N/A	N/A	N/A	N/A
8984	C12H25NaO4S	288.38	N/A	N/A	N/A	74.8	249	N/A	0	4	12	18	N/A	N/A	N/A	N/A	N/A
20339	C10H8ClNO2	209.63	2.1	N/A	N/A	53.1	234	N/A	2	2	2	14	N/A	N/A	N/A	N/A	N/A
2311	C26H21N3O3	423.5	5.5	N/A	N/A	90.9	585	N/A	3	5	5	32	N/A	N/A	N/A	N/A	N/A
41200	C16H30O	238.41	5.9	N/A	N/A	20.2	182	N/A	1	1	12	17	N/A	N/A	N/A	N/A	N/A
40933	C19H30O	274.4	5.3	N/A	N/A	20.2	428	N/A	1	1	0	20	N/A	N/A	N/A	N/A	N/A
5862	C11H12N2O2	204.22	0.7	N/A	N/A	42.8	267	N/A	1	3	1	15	N/A	N/A	N/A	N/A	N/A
31889	C19H21FN2O4	360.4	2.9	N/A	N/A	81.1	631	N/A	2	7	2	26	N/A	N/A	N/A	N/A	N/A
2401	C23H29N3O2S	411.6	2.6	N/A	N/A	72.3	540	N/A	1	6	7	29	N/A	N/A	N/A	N/A	N/A
2402	C31H37N3O10S	643.7	N/A	N/A	N/A	222	659	N/A	5	14	11	45	N/A	N/A	N/A	N/A	N/A
31279	C20H32N6O4S	452.6	N/A	N/A	N/A	156	241	N/A	6	6	8	31	N/A	N/A	N/A	N/A	N/A
6762	C17H23N3O	285.4	3.3	N/A	N/A	28.6	277	N/A	0	4	7	21	N/A	N/A	N/A	N/A	N/A
44932	C19H22N2OS	326.5	4.2	N/A	N/A	48.8	414	N/A	0	4	5	23	N/A	N/A	N/A	N/A	N/A
37999	C7H6OS2	170.3	2.2	N/A	N/A	53.3	136	N/A	2	3	1	10	N/A	N/A	N/A	N/A	N/A
6824	C6H12N4	140.19	0.3	N/A	N/A	13	84	N/A	0	4	0	10	N/A	N/A	N/A	N/A	N/A
3159	C17H26O5	310.4	1.7	N/A	N/A	80.7	499	N/A	1	5	4	22	N/A	N/A	N/A	N/A	N/A
38150	C30H21N3O15-6	663.5	4.5	N/A	N/A	305	1060	N/A	3	15	6	48	N/A	N/A	N/A	N/A	N/A
38154	C12H22N2O8	322.31	-6.6	N/A	N/A	176	376	N/A	7	10	13	22	N/A	N/A	N/A	N/A	N/A
32295	C43H57N5O11S	852.0	N/A	N/A	N/A	248	1650	N/A	7	14	7	60	N/A	N/A	N/A	N/A	N/A
47147	C21H19Cl3N2O4S	501.8	5.2	N/A	N/A	91.9	878	N/A	1	5	5	31	N/A	N/A	N/A	N/A	N/A
122	C18H16O7	344.3	2.1	N/A	N/A	121	734	N/A	3	7	2	25	N/A	N/A	N/A	N/A	N/A
38322	C11H19N2O+	195.28	-0.1	N/A	N/A	20.3	277	N/A	0	1	2	14	N/A	N/A	N/A	N/A	N/A
28312	C34H54Cl2N10O14	897.8	N/A	N/A	N/A	455	819	N/A	18	16	23	60	N/A	N/A	N/A	N/A	N/A
34629	C10H13ClN2	196.67	2.9	N/A	N/A	15.6	180	N/A	0	1	2	13	N/A	N/A	N/A	N/A	N/A
27139	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
17514	CN-	26.017	0.1	N/A	N/A	23.8	10	N/A	0	2	0	2	N/A	N/A	N/A	N/A	N/A
38495	AlP	57.955300	N/A	N/A	N/A	0	0	N/A	0	1	0	2	N/A	N/A	N/A	N/A	N/A
38576	C13H22N4O3S	314.41	2.7	N/A	N/A	103	384	N/A	0	6	6	21	N/A	N/A	N/A	N/A	N/A
31618	C16H12ClFN2O	302.73	2.8	N/A	N/A	32.7	442	N/A	0	3	1	21	N/A	N/A	N/A	N/A	N/A
38591	C20H21F3N2O5	426.4	4.1	N/A	N/A	79.8	585	N/A	0	10	9	30	N/A	N/A	N/A	N/A	N/A
5011	C24H27N3O4	421.5	4.9	N/A	N/A	74.9	592	N/A	0	6	9	31	N/A	N/A	N/A	N/A	N/A
38622	C7H5NO	119.12	1.6	N/A	N/A	44	127	N/A	1	2	0	9	N/A	N/A	N/A	N/A	N/A
38626	C19H25ClN2OS	364.9	5.2	N/A	N/A	58	535	N/A	0	3	5	24	N/A	N/A	N/A	N/A	N/A
9422	C18H24ClN3O	333.9	4.5	N/A	N/A	46.9	402	N/A	1	2	5	23	N/A	N/A	N/A	N/A	N/A
38604	C20H28ClN3O2	377.9	4.9	N/A	N/A	56.3	388	N/A	1	5	10	26	N/A	N/A	N/A	N/A	N/A
38630	C22H17ClF3N3O7	527.8	4.8	N/A	N/A	107	912	N/A	0	11	5	36	N/A	N/A	N/A	N/A	N/A
15333	C10H13N5O	219.24	0.7	N/A	N/A	86.7	258	N/A	3	5	4	16	N/A	N/A	N/A	N/A	N/A
38640	C23H30O4	370.5	5.1	N/A	N/A	52.6	621	N/A	0	4	5	27	N/A	N/A	N/A	N/A	N/A
