ChEBI	MolecularFormula	MolecularWeight	XLogP	ExactMass	MonoisotopicMass	TPSA	Complexity	Charge	HBondDonorCount	HBondAcceptorCount	RotatableBondCount	HeavyAtomCount	IsotopeAtomCount	AtomStereoCount	DefinedAtomStereoCount	UndefinedAtomStereoCount	BondStereoCount
52658	C25H11Cl4NO9	611.2	4.9	N/A	N/A	140	1030	N/A	2	9	3	39	N/A	N/A	N/A	N/A	N/A
51753	C21H11Li3N2O11S2	552.4	N/A	N/A	N/A	268	1290	N/A	3	13	2	39	N/A	N/A	N/A	N/A	N/A
52662	C21H12Li2N2O11S2	546.4	N/A	N/A	N/A	265	1300	N/A	4	13	3	38	N/A	N/A	N/A	N/A	N/A
52665	C31H27N3O13S2	713.7	0.9	N/A	N/A	272	1820	N/A	5	15	7	49	N/A	N/A	N/A	N/A	N/A
52666	C31H27N3O13S2	713.7	0.9	N/A	N/A	272	1820	N/A	5	15	7	49	N/A	N/A	N/A	N/A	N/A
52673	C21H14N2O11S2	534.5	0	N/A	N/A	259	1320	N/A	6	13	5	36	N/A	N/A	N/A	N/A	N/A
52690	C27H20O11	520.4	1.5	N/A	N/A	196	1130	N/A	5	11	9	38	N/A	N/A	N/A	N/A	N/A
52691	C27H20O11	520.4	1.5	N/A	N/A	196	1130	N/A	5	11	9	38	N/A	N/A	N/A	N/A	N/A
52692	C18H15BF2N2O2	340.1	N/A	N/A	N/A	45.2	668	N/A	1	5	4	25	N/A	N/A	N/A	N/A	N/A
52693	C67H81BF2N12O15S2	1407.4	N/A	N/A	N/A	438	3110	N/A	13	20	21	99	N/A	N/A	N/A	N/A	N/A
52694	C27H33IN2	512.5	N/A	N/A	N/A	6.2	650	N/A	0	2	4	30	N/A	N/A	N/A	N/A	N/A
51905	C35H42BF2N5O13	789.5	N/A	N/A	N/A	214	1560	N/A	2	17	27	56	N/A	N/A	N/A	N/A	N/A
52695	C43H27Cl2K6N3O16	1147.2	N/A	N/A	N/A	296	1640	N/A	1	18	13	70	N/A	N/A	N/A	N/A	N/A
52696	C59H62N6O21S	1223.2	6.3	N/A	N/A	347	2490	N/A	2	25	35	87	N/A	N/A	N/A	N/A	N/A
52708	C29H16O7	476.4	3.6	N/A	N/A	121	1170	N/A	3	7	3	36	N/A	N/A	N/A	N/A	N/A
52709	C29H16O7	476.4	3.6	N/A	N/A	121	1170	N/A	3	7	3	36	N/A	N/A	N/A	N/A	N/A
52713	C42H40ClN3O4	686.2	6.9	N/A	N/A	82.4	1540	N/A	1	6	3	50	N/A	N/A	N/A	N/A	N/A
52716	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52718	C31H34N2O8S2	626.7	3.4	N/A	N/A	172	1360	N/A	2	9	12	43	N/A	N/A	N/A	N/A	N/A
52720	C31H36N2O8S2	628.8	4.4	N/A	N/A	178	1380	N/A	3	10	11	43	N/A	N/A	N/A	N/A	N/A
52723	C36H28Cl2N6O2Ru	748.6	N/A	N/A	N/A	79.3	183	N/A	2	10	0	47	N/A	N/A	N/A	N/A	N/A
52725	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52724	C12H19NO4	241.28	1.6	N/A	N/A	75.6	354	N/A	2	4	4	17	N/A	N/A	N/A	N/A	N/A
52727	C44H48N6O6S	789.0	N/A	N/A	N/A	162	717	N/A	2	10	8	57	N/A	N/A	N/A	N/A	N/A
52737	C27H23NO8	489.5	2.3	N/A	N/A	150	996	N/A	4	8	9	36	N/A	N/A	N/A	N/A	N/A
52739	C27H23NO8	489.5	2.3	N/A	N/A	150	996	N/A	4	8	9	36	N/A	N/A	N/A	N/A	N/A
52740	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52741	C2H6ClO3P	144.49	-1	N/A	N/A	57.5	86	N/A	2	3	2	7	N/A	N/A	N/A	N/A	N/A
52745	C36H43NO6	585.7	8.9	N/A	N/A	113	1040	N/A	3	6	17	43	N/A	N/A	N/A	N/A	N/A
52751	C16H26MgN2O15S2	574.8	N/A	N/A	N/A	184	737	N/A	9	17	3	36	N/A	N/A	N/A	N/A	N/A
52753	C24H10N2O4	390.3	3.3	N/A	N/A	92.3	735	N/A	2	4	0	30	N/A	N/A	N/A	N/A	N/A
52765	C21H15N2O5+	375.4	1.7	N/A	N/A	135	775	N/A	4	6	3	28	N/A	N/A	N/A	N/A	N/A
52766	C21H15N2O5+	375.4	1.7	N/A	N/A	135	775	N/A	4	6	3	28	N/A	N/A	N/A	N/A	N/A
52767	C33H41N3O8S2	671.8	3	N/A	N/A	173	1370	N/A	2	10	14	46	N/A	N/A	N/A	N/A	N/A
52771	C18H23IN2	394.3	N/A	N/A	N/A	7.1	280	N/A	0	2	5	21	N/A	N/A	N/A	N/A	N/A
52770	C40H53N5O10	763.9	4.3	N/A	N/A	229	1410	N/A	7	10	19	55	N/A	N/A	N/A	N/A	N/A
52778	C72H48N6Ru+2	1098.3	N/A	N/A	N/A	77.3	409	N/A	0	6	6	79	N/A	N/A	N/A	N/A	N/A
52780	C60H67BrN4O19	1228.1	N/A	N/A	N/A	251	2430	N/A	0	23	32	84	N/A	N/A	N/A	N/A	N/A
51608	C48H61Cl4N2O11P	1014.8	11.2	N/A	N/A	159	1640	N/A	2	12	23	66	N/A	N/A	N/A	N/A	N/A
52786	C25H25N2+	353.5	5.8	N/A	N/A	7.1	527	N/A	0	1	4	27	N/A	N/A	N/A	N/A	N/A
52788	C17H20N3+	266.36	4	N/A	N/A	20.6	298	N/A	1	2	2	20	N/A	N/A	N/A	N/A	N/A
52789	C15H16N3+	238.31	3.1	N/A	N/A	66.2	278	N/A	3	2	0	18	N/A	N/A	N/A	N/A	N/A
52790	C21H11N2O11S2-3	531.5	0.5	N/A	N/A	268	1290	N/A	3	13	2	36	N/A	N/A	N/A	N/A	N/A
52791	C26H26F3N2O9S-	599.6	1.6	N/A	N/A	159	1240	N/A	0	13	9	41	N/A	N/A	N/A	N/A	N/A
52792	C17H18N3O2+	296.34	1.5	N/A	N/A	91.6	577	N/A	4	4	4	22	N/A	N/A	N/A	N/A	N/A
52793	C21H26N3O2+	352.4	3.7	N/A	N/A	47.7	450	N/A	1	4	6	26	N/A	N/A	N/A	N/A	N/A
52795	C22H27N2O3+	367.5	3	N/A	N/A	75.5	717	N/A	2	4	6	27	N/A	N/A	N/A	N/A	N/A
51816	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52796	C31H31N2O5+	511.6	3.7	N/A	N/A	90.1	1080	N/A	2	6	5	38	N/A	N/A	N/A	N/A	N/A
52798	C36H37N2O5+	577.7	4.9	N/A	N/A	90.1	1420	N/A	2	6	5	43	N/A	N/A	N/A	N/A	N/A
51823	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52797	C31H31N2O5+	511.6	3.7	N/A	N/A	90.1	1080	N/A	2	6	5	38	N/A	N/A	N/A	N/A	N/A
52799	C37H39N2O5+	591.7	4.9	N/A	N/A	90.1	1390	N/A	2	6	5	44	N/A	N/A	N/A	N/A	N/A
52800	C25H31N2O2+	391.5	3.3	N/A	N/A	43.6	813	N/A	1	3	5	29	N/A	N/A	N/A	N/A	N/A
52801	C28H35N2O2+	431.6	4	N/A	N/A	43.6	971	N/A	1	3	5	32	N/A	N/A	N/A	N/A	N/A
52802	C41H54N6S2+4	695.0	7.7	N/A	N/A	64.8	1010	N/A	0	4	14	49	N/A	N/A	N/A	N/A	N/A
52803	C45H58N6S2+4	747.1	9	N/A	N/A	64.8	1150	N/A	0	4	16	53	N/A	N/A	N/A	N/A	N/A
52804	C27H33N2+	385.6	6.3	N/A	N/A	6.2	650	N/A	0	1	4	29	N/A	N/A	N/A	N/A	N/A
52805	C23H23N2O2+	359.4	5.8	N/A	N/A	29.5	537	N/A	0	3	5	27	N/A	N/A	N/A	N/A	N/A
52806	C21H21N2S2+	365.5	6.3	N/A	N/A	60.7	474	N/A	0	3	4	25	N/A	N/A	N/A	N/A	N/A
52807	C29H35N2+	411.6	6.9	N/A	N/A	6.2	717	N/A	0	1	5	31	N/A	N/A	N/A	N/A	N/A
52812	C21H21N2O2+	333.4	5.2	N/A	N/A	29.5	474	N/A	0	3	4	25	N/A	N/A	N/A	N/A	N/A
52813	C31H37N2+	437.6	7.6	N/A	N/A	6.2	784	N/A	0	1	6	33	N/A	N/A	N/A	N/A	N/A
52814	C25H25N2O2+	385.5	6.5	N/A	N/A	29.5	601	N/A	0	3	6	29	N/A	N/A	N/A	N/A	N/A
52815	C16H12N3O+	262.29	2.3	N/A	N/A	73.2	496	N/A	2	3	0	20	N/A	N/A	N/A	N/A	N/A
52816	C46H79N2+	660.1	18.9	N/A	N/A	7.1	640	N/A	0	1	33	48	N/A	N/A	N/A	N/A	N/A
52783	C16H19N2+	239.33	3.4	N/A	N/A	7.1	264	N/A	0	1	3	18	N/A	N/A	N/A	N/A	N/A
52817	C61H99N2+	860.4	23.9	N/A	N/A	6.2	1190	N/A	0	1	37	63	N/A	N/A	N/A	N/A	N/A
52818	C59H97N2+	834.4	23.2	N/A	N/A	6.2	1110	N/A	0	1	36	61	N/A	N/A	N/A	N/A	N/A
52819	C53H85N2O2+	782.3	22.1	N/A	N/A	29.5	919	N/A	0	3	36	57	N/A	N/A	N/A	N/A	N/A
52820	C63H101N2+	886.5	24.5	N/A	N/A	6.2	1260	N/A	0	1	38	65	N/A	N/A	N/A	N/A	N/A
52821	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52822	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52823	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52824	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52825	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52827	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52833	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52830	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52834	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52835	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52836	C20H6Br4O5-2	645.9	6.9	N/A	N/A	89.5	797	N/A	0	5	1	29	N/A	N/A	N/A	N/A	N/A
52843	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52844	C22H11Br4O5-	674.9	7	N/A	N/A	75.7	833	N/A	0	5	4	31	N/A	N/A	N/A	N/A	N/A
52850	C30H49N3+2	451.7	7.3	N/A	N/A	7.1	480	N/A	0	1	16	33	N/A	N/A	N/A	N/A	N/A
52856	C34H53N3+2	503.8	8.6	N/A	N/A	7.1	615	N/A	0	1	18	37	N/A	N/A	N/A	N/A	N/A
52860	C28H22N3O14-5	624.5	5.3	N/A	N/A	260	1070	N/A	0	17	12	45	N/A	N/A	N/A	N/A	N/A
52861	C16H7O10S3-3	455.4	1.4	N/A	N/A	217	945	N/A	1	10	1	29	N/A	N/A	N/A	N/A	N/A
52862	C25H27Cl4N4+	525.3	8.2	N/A	N/A	15.3	625	N/A	0	2	6	33	N/A	N/A	N/A	N/A	N/A
52863	C47H56N8O2+4	765.0	7.6	N/A	N/A	66.3	1350	N/A	0	6	14	57	N/A	N/A	N/A	N/A	N/A
52864	C21H23N2S+	335.5	5.9	N/A	N/A	35.4	437	N/A	0	2	5	24	N/A	N/A	N/A	N/A	N/A
52865	C25H30N3+	372.5	5.8	N/A	N/A	10.4	516	N/A	0	2	6	28	N/A	N/A	N/A	N/A	N/A
52867	C47H54Br2N8S2+4	954.9	10.3	N/A	N/A	96.5	1430	N/A	0	6	14	59	N/A	N/A	N/A	N/A	N/A
52866	C27H29N2O7S2-	557.7	2.2	N/A	N/A	147	1150	N/A	0	8	6	38	N/A	N/A	N/A	N/A	N/A
52868	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52869	C33H17Cl2N2O13-5	720.4	7.6	N/A	N/A	244	1280	N/A	1	14	7	50	N/A	N/A	N/A	N/A	N/A
52872	C26H32N3O6S2-	546.7	4.5	N/A	N/A	151	1000	N/A	0	8	11	37	N/A	N/A	N/A	N/A	N/A
52873	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52874	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52875	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52876	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52878	C22H24N3O+	346.4	3.9	N/A	N/A	36.6	688	N/A	1	3	3	26	N/A	N/A	N/A	N/A	N/A
52877	C25H25N2+	353.5	6.3	N/A	N/A	7.1	527	N/A	0	1	4	27	N/A	N/A	N/A	N/A	N/A
52885	C20H27N3O+2	325.4	3.3	N/A	N/A	16.4	435	N/A	0	2	5	24	N/A	N/A	N/A	N/A	N/A
52886	C22H29N3O+2	351.5	3.9	N/A	N/A	16.4	500	N/A	0	2	6	26	N/A	N/A	N/A	N/A	N/A
52887	C41H54N6O2+4	662.9	6.6	N/A	N/A	32.7	1010	N/A	0	4	14	49	N/A	N/A	N/A	N/A	N/A
52888	C45H58N6O2+4	715.0	7.9	N/A	N/A	32.7	1150	N/A	0	4	16	53	N/A	N/A	N/A	N/A	N/A
52889	C45H39N4O7S+	779.9	4.2	N/A	N/A	125	1760	N/A	0	9	7	57	N/A	N/A	N/A	N/A	N/A
52890	C43H39N4O7S+	755.9	5.3	N/A	N/A	125	1650	N/A	0	9	9	55	N/A	N/A	N/A	N/A	N/A
52891	C43H39N4O13S3+	916.0	2.8	N/A	N/A	250	2160	N/A	2	15	11	63	N/A	N/A	N/A	N/A	N/A
52892	C52H59N4O19+	1044.0	5.4	N/A	N/A	251	2060	N/A	0	22	33	75	N/A	N/A	N/A	N/A	N/A
52893	C20H15N2O3+	331.3	2.2	N/A	N/A	98.1	655	N/A	3	4	2	25	N/A	N/A	N/A	N/A	N/A
52894	C21H17N2O3+	345.4	2.5	N/A	N/A	87.1	670	N/A	2	4	3	26	N/A	N/A	N/A	N/A	N/A
52895	C28H31N2O3+	443.6	5.1	N/A	N/A	61.5	823	N/A	2	4	7	33	N/A	N/A	N/A	N/A	N/A
52896	C28H31N2O3+	443.6	4.4	N/A	N/A	52.8	811	N/A	1	4	7	33	N/A	N/A	N/A	N/A	N/A
52904	C20H2Cl4I4O5-2	971.6	8.9	N/A	N/A	89.5	936	N/A	0	5	1	33	N/A	N/A	N/A	N/A	N/A
52905	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52906	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52907	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52911	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A
52919	C30H27N2S2+	479.7	9.4	N/A	N/A	60.7	730	N/A	0	3	4	34	N/A	N/A	N/A	N/A	N/A
52920	C18H23N2+	267.4	4.1	N/A	N/A	7.1	280	N/A	0	1	5	20	N/A	N/A	N/A	N/A	N/A
52921	C25H25N2O7S2-	529.6	2.2	N/A	N/A	166	1130	N/A	2	8	4	36	N/A	N/A	N/A	N/A	N/A
52923	C68H101N3O14PS2-	1279.6	15.5	N/A	N/A	247	2540	N/A	1	16	43	88	N/A	N/A	N/A	N/A	N/A
52924	C19H17N2S+	305.4	4.8	N/A	N/A	32.4	435	N/A	0	2	1	22	N/A	N/A	N/A	N/A	N/A
52926	C12H10N3S+	228.30	1.4	N/A	N/A	89.3	388	N/A	2	3	0	16	N/A	N/A	N/A	N/A	N/A
52927	C24H29N3S+2	391.6	5.1	N/A	N/A	32.4	555	N/A	0	2	5	28	N/A	N/A	N/A	N/A	N/A
52928	C26H31N3S+2	417.6	5.8	N/A	N/A	32.4	622	N/A	0	2	6	30	N/A	N/A	N/A	N/A	N/A
52929	C49H58N6S2+4	795.2	10.4	N/A	N/A	64.8	1260	N/A	0	4	14	57	N/A	N/A	N/A	N/A	N/A
52930	C55H62N6S2+4	871.3	10.9	N/A	N/A	70.9	1550	N/A	0	4	16	63	N/A	N/A	N/A	N/A	N/A
52931	C30H24N6Ru+2	569.6	N/A	N/A	N/A	77.3	120	N/A	0	6	3	37	N/A	N/A	N/A	N/A	N/A
52932	C66H48N6Ru+2	1026.2	N/A	N/A	N/A	77.3	334	N/A	0	6	9	73	N/A	N/A	N/A	N/A	N/A
52933	C25H22N3O3S+	444.5	3.6	N/A	N/A	102	907	N/A	1	6	4	32	N/A	N/A	N/A	N/A	N/A
52935	C60H67N4O19+	1148.2	6.6	N/A	N/A	251	2430	N/A	0	22	32	83	N/A	N/A	N/A	N/A	N/A
52936	C24H29N3O+2	375.5	4.6	N/A	N/A	16.4	555	N/A	0	2	5	28	N/A	N/A	N/A	N/A	N/A
52946	C26H31N3O+2	401.5	5.2	N/A	N/A	16.4	622	N/A	0	2	6	30	N/A	N/A	N/A	N/A	N/A
52947	C49H58N6O2+4	763.0	9.3	N/A	N/A	32.7	1260	N/A	0	4	14	57	N/A	N/A	N/A	N/A	N/A
52948	C53H58N6O2+4	811.1	9.1	N/A	N/A	38.7	1520	N/A	0	4	14	61	N/A	N/A	N/A	N/A	N/A
52953	C21H12N2O11S2-2	532.5	0.6	N/A	N/A	265	1300	N/A	4	13	3	36	N/A	N/A	N/A	N/A	N/A
52954	C21H12N2O11S2-2	532.5	0.6	N/A	N/A	265	1300	N/A	4	13	3	36	N/A	N/A	N/A	N/A	N/A
52958	C43H27Cl2N3O16-6	912.6	9.7	N/A	N/A	296	1640	N/A	1	18	13	64	N/A	N/A	N/A	N/A	N/A
52967	C16H26N2O15S2-2	550.5	N/A	N/A	N/A	184	737	N/A	9	17	3	35	N/A	N/A	N/A	N/A	N/A
10586	C16H16NO6P	349.27	1.3	N/A	N/A	113	491	N/A	3	6	7	24	N/A	N/A	N/A	N/A	N/A
47727	C18H21ClN2O3	348.8	4	N/A	N/A	56.8	421	N/A	0	5	8	24	N/A	N/A	N/A	N/A	N/A
28908	C69H107N4O35P	1583.6	-0.7	N/A	N/A	602	3370	N/A	18	35	38	109	N/A	N/A	N/A	N/A	N/A
48723	C22H27NO2	337.5	3.8	N/A	N/A	40.5	412	N/A	1	3	6	25	N/A	N/A	N/A	N/A	N/A
6889	C24H32O6	416.5	2.7	N/A	N/A	101	858	N/A	2	6	4	30	N/A	N/A	N/A	N/A	N/A
52993	C16H12Cl2N2O2	335.2	2.4	N/A	N/A	52.9	471	N/A	1	3	1	22	N/A	N/A	N/A	N/A	N/A
34590	C15H22BrNO	312.24	3.5	N/A	N/A	29.1	287	N/A	1	1	4	18	N/A	N/A	N/A	N/A	N/A
53003	C10H10N2	158.20	2.1	N/A	N/A	52	140	N/A	2	2	0	12	N/A	N/A	N/A	N/A	N/A
27812	C4H9NO2Se	182.09	N/A	N/A	N/A	63.3	86	N/A	2	3	3	8	N/A	N/A	N/A	N/A	N/A
53210	C10H19NO4	217.26	0.9	N/A	N/A	66.4	227	N/A	0	4	6	15	N/A	N/A	N/A	N/A	N/A
32142	C6H9Na3O9	294.10	N/A	N/A	N/A	143	211	N/A	3	9	2	18	N/A	N/A	N/A	N/A	N/A
53474	Li2O4S	110.0	N/A	N/A	N/A	88.6	62	N/A	0	4	0	7	N/A	N/A	N/A	N/A	N/A
31882	C5H9NO4	147.13	-3.4	N/A	N/A	86.6	145	N/A	3	5	4	10	N/A	N/A	N/A	N/A	N/A
195280	C16H26O5	298.37	3.1	N/A	N/A	46.2	429	N/A	0	5	1	21	N/A	N/A	N/A	N/A	N/A
207229	C15H24O5	284.35	2.5	N/A	N/A	57.2	415	N/A	1	5	0	20	N/A	N/A	N/A	N/A	N/A
156095	C30H32Cl3NO	528.9	8.7	N/A	N/A	23.5	671	N/A	1	2	10	35	N/A	N/A	N/A	N/A	N/A
3480	C18H18N6O5S2	462.5	-0.9	N/A	N/A	201	777	N/A	3	10	7	31	N/A	N/A	N/A	N/A	N/A
209807	C16H17N3O7S2	427.5	0	N/A	N/A	202	744	N/A	3	9	8	28	N/A	N/A	N/A	N/A	N/A
3537	C19H17N3O4S2	415.5	1.9	N/A	N/A	147	687	N/A	1	6	5	28	N/A	N/A	N/A	N/A	N/A
474053	C14H14N8O4S3	454.5	-0.4	N/A	N/A	235	740	N/A	2	12	7	29	N/A	N/A	N/A	N/A	N/A
53661	C26H56N10	508.8	4.3	N/A	N/A	178	601	N/A	6	4	23	36	N/A	N/A	N/A	N/A	N/A
3479	C16H17N3O5S	363.4	-2.1	N/A	N/A	158	629	N/A	4	7	4	25	N/A	N/A	N/A	N/A	N/A
53692	C11H8I3N2NaO4	635.89	N/A	N/A	N/A	102	438	N/A	2	5	3	21	N/A	N/A	N/A	N/A	N/A
31718	C24H21I6N5O8	1268.9	2.8	N/A	N/A	194	1090	N/A	6	8	10	43	N/A	N/A	N/A	N/A	N/A
31703	C12H11I3N2O4	627.94	1.7	N/A	N/A	95.5	435	N/A	3	4	4	21	N/A	N/A	N/A	N/A	N/A
32166	C12H14N4O2S	278.33	1.2	N/A	N/A	106	387	N/A	2	6	3	19	N/A	N/A	N/A	N/A	N/A
53700	C18H11NO2	273.3	3.4	N/A	N/A	47	423	N/A	0	3	1	21	N/A	N/A	N/A	N/A	N/A
53729	C4H6O2S	118.16	0.6	N/A	N/A	42.5	145	N/A	0	2	2	7	N/A	N/A	N/A	N/A	N/A
53730	C20H17N3Na2O11S3	617.5	N/A	N/A	N/A	260	1160	N/A	2	14	9	39	N/A	N/A	N/A	N/A	N/A
53731	C26H21N5Na4O19S6	991.8	N/A	N/A	N/A	462	2050	N/A	2	24	13	60	N/A	N/A	N/A	N/A	N/A
53734	C26H21N5O19S6-4	899.9	0.5	N/A	N/A	462	2050	N/A	2	24	13	56	N/A	N/A	N/A	N/A	N/A
53733	C20H17N3O11S3-2	571.6	2.5	N/A	N/A	260	1160	N/A	2	14	9	37	N/A	N/A	N/A	N/A	N/A
3534	C16H17N3O4S	347.4	0.6	N/A	N/A	138	600	N/A	3	6	4	24	N/A	N/A	N/A	N/A	N/A
53745	C3H3N3O2	113.08	-0.6	N/A	N/A	70.6	162	N/A	2	3	0	8	N/A	N/A	N/A	N/A	N/A
32296	C53H66N4O20	1079.1	N/A	N/A	N/A	364	1820	N/A	10	23	16	77	N/A	N/A	N/A	N/A	N/A
53750	C53H66N4O20	1079.1	N/A	N/A	N/A	364	1820	N/A	10	23	16	77	N/A	N/A	N/A	N/A	N/A
46557	C5H10N2O7P2	272.09	-4.3	N/A	N/A	153	327	N/A	5	8	4	16	N/A	N/A	N/A	N/A	N/A
53726	C19H10Cl2N6Na2O7S2	615.3	N/A	N/A	N/A	227	981	N/A	2	13	5	38	N/A	N/A	N/A	N/A	N/A
53763	C21H28N2OS	356.5	4.5	N/A	N/A	51.8	424	N/A	0	3	6	25	N/A	N/A	N/A	N/A	N/A
31184	C28H37ClO7	521.0	3.2	N/A	N/A	107	1030	N/A	1	7	8	36	N/A	N/A	N/A	N/A	N/A
601027	C30H53N3O6	551.8	3.5	N/A	N/A	146	717	N/A	4	7	19	39	N/A	N/A	N/A	N/A	N/A
53777	C64H110N6O16	1219.6	N/A	N/A	N/A	367	836	N/A	10	18	40	86	N/A	N/A	N/A	N/A	N/A
53778	C26H29F2N7	477.6	5.6	N/A	N/A	69.2	602	N/A	2	9	10	35	N/A	N/A	N/A	N/A	N/A
53779	C28H37F2N7O6S2	669.8	N/A	N/A	N/A	195	694	N/A	4	15	10	45	N/A	N/A	N/A	N/A	N/A
518413	C20H27N	281.4	5.3	N/A	N/A	3.2	214	N/A	0	1	9	21	N/A	N/A	N/A	N/A	N/A
53786	C20H28ClN	317.9	N/A	N/A	N/A	3.2	214	N/A	1	1	9	22	N/A	N/A	N/A	N/A	N/A
2627	C28H42Cl2N4O2+2	537.6	5.1	N/A	N/A	58.2	614	N/A	2	2	14	36	N/A	N/A	N/A	N/A	N/A
31204	C9H9N2NaO3	216.17	N/A	N/A	N/A	95.2	227	N/A	2	4	3	15	N/A	N/A	N/A	N/A	N/A
17134	C8H11NO2	153.18	-1.1	N/A	N/A	66.5	111	N/A	3	3	2	11	N/A	N/A	N/A	N/A	N/A
55344	C5H11NO2	117.15	1.8	N/A	N/A	38.7	56	N/A	0	3	4	8	N/A	N/A	N/A	N/A	N/A
55326	C23H42N2O12	538.6	N/A	N/A	N/A	236	458	N/A	6	12	10	37	N/A	N/A	N/A	N/A	N/A
31556	C14H22N2O3	266.34	0.2	N/A	N/A	84.6	263	N/A	3	4	8	19	N/A	N/A	N/A	N/A	N/A
3490	C15H16N7NaO5S3	493.5	N/A	N/A	N/A	246	837	N/A	1	13	9	31	N/A	N/A	N/A	N/A	N/A
554446	C17H17N3O6S2	423.5	-1.1	N/A	N/A	177	707	N/A	2	9	8	28	N/A	N/A	N/A	N/A	N/A
55438	C41H62N12O11	899.0	-3	N/A	N/A	380	1660	N/A	12	14	25	64	N/A	N/A	N/A	N/A	N/A
34613	C18H19N3O6S	405.4	-3	N/A	N/A	164	718	N/A	3	8	7	28	N/A	N/A	N/A	N/A	N/A
55368	C5H12Cl3N	192.5	N/A	N/A	N/A	3.2	43	N/A	1	1	4	9	N/A	N/A	N/A	N/A	N/A
55481	C12H22O12	358.30	-5	N/A	N/A	218	406	N/A	9	12	8	24	N/A	N/A	N/A	N/A	N/A
55486	C12H14N6O10S2	466.4	-1.4	N/A	N/A	291	858	N/A	5	14	10	30	N/A	N/A	N/A	N/A	N/A
55488	C16H15N7O5S4	513.6	-0.2	N/A	N/A	280	859	N/A	3	14	8	32	N/A	N/A	N/A	N/A	N/A
553473	C13H13N5O5S2	383.4	0	N/A	N/A	201	669	N/A	3	10	5	25	N/A	N/A	N/A	N/A	N/A
55490	C16H17N9O5S3	511.6	0	N/A	N/A	270	890	N/A	3	14	8	33	N/A	N/A	N/A	N/A	N/A
3507	C22H20N4O8S2	532.6	-0.6	N/A	N/A	225	1050	N/A	3	9	7	36	N/A	N/A	N/A	N/A	N/A
